Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;ANGERS ST LAUD;87484006;ST JEAN DE MAURIENNE ARVAN;87742320;1;Tarif Réglementé;175.6;175.6
TGV INOUI;ANGOULEME;87583005;CHAMPAGNE-ARDENNE;87171926;1;Tarif Normal;31.0;161.0
TGV INOUI;MONTAUBAN VILLE BOURBON;87611244;SETE;87773200;1;Tarif Réglementé;66.0;66.0
TGV INOUI;LE HAVRE;87413013;MARSEILLE ST CHARLES;87751008;2;Tarif Réglementé;115.0;136.0
TGV INOUI;MULHOUSE VILLE;87182063;MONTBARD;87713131;2;Tarif Normal;20.0;52.0
TGV INOUI;LE HAVRE;87413013;MASSY PALAISEAU;87393579;2;Tarif Elève - Etudiant - Apprenti;5.0;5.0
TGV INOUI;MONTAUBAN VILLE BOURBON;87611244;ST PIERRE DES CORPS;87571240;1;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;RANG DU FLIERS VERTON;87317057;PARIS GARE DE LYON;87686006;1;Tarif Normal;17.0;100.0
TGV INOUI;MONTAUBAN VILLE BOURBON;87611244;TOULOUSE MATABIAU;87611004;1;Tarif Avantage;5.6;17.5
TGV INOUI;REDON;87471300;AURAY;87476200;1;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;ANGERS ST LAUD;87484006;TGV HAUTE PICARDIE;87313882;1;Tarif Avantage;20.0;102.0
TGV INOUI;NANCY;87141002;BESANCON - F COMTE TGV;87300863;2;Tarif Normal;20.0;42.0
TGV INOUI;QUIMPERLE;87476317;DOUAI;87345009;1;Tarif Réglementé;163.4;163.4
TGV INOUI;MONTELIMAR GARE SNCF;87764001;ORANGE;87765107;1;Tarif Normal;7.0;26.0
TGV INOUI;ANGOULEME;87583005;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;REDON;87471300;SALLANCHES-COMBLOUX-MEGEVE;87746438;1;Tarif Avantage;25.0;166.0
TGV INOUI;MULHOUSE VILLE;87182063;PARIS EST;87113001;2;Tarif Elève - Etudiant - Apprenti;22.0;22.0
TGV INOUI;ANGOULEME;87583005;LYON PERRACHE;87722025;1;Tarif Réglementé;165.4;165.4
TGV INOUI;MULHOUSE VILLE;87182063;PARIS GARE DE LYON;87686006;2;Tarif Réglementé;91.8;119.8
TGV INOUI;ANGOULEME;87583005;LYON-SAINT EXUPERY TGV;87762906;1;Tarif Réglementé;165.4;165.4
TGV INOUI;LE HAVRE;87413013;LANDRY;87741777;2;Tarif Normal;25.0;136.0
TGV INOUI;RENNES;87471003;ALBERTVILLE;87741645;1;Tarif Avantage;21.5;156.0
TGV INOUI;MONTBARD;87713131;LISIEUX;87444265;1;Tarif Normal;24.0;110.0
TGV INOUI;LE MANS;87396002;CLUSES  74;87746370;2;Tarif Avantage;17.5;98.0
TGV INOUI;MULHOUSE VILLE;87182063;PARIS NORD;87271007;2;Tarif Avantage;14.0;93.0
TGV INOUI;ANGOULEME;87583005;PARIS AUSTERLITZ;87547000;1;Tarif Avantage;16.5;120.0
TGV INOUI;LE HAVRE;87413013;LEPIN LE LAC LA BAUCHE;87741439;2;Tarif Normal;49.0;125.0
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;NEUFCHATEAU;87141291;1;Tarif Normal;31.0;134.0
TGV INOUI;MONTBARD;87713131;MANTES LA JOLIE TGV;87514596;1;Tarif Avantage;11.9;76.0
TGV INOUI;NANCY;87141002;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20.0;87.0
TGV INOUI;QUIMPERLE;87476317;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;1;Tarif Normal;26.0;169.0
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Réglementé;168.5;168.5
TGV INOUI;MULHOUSE VILLE;87182063;THIONVILLE;87191007;2;Tarif Avantage;14.0;42.0
TGV INOUI;LE MANS;87396002;GRENOBLE;87747006;2;Tarif Elève - Etudiant - Apprenti;14.0;14.0
TGV INOUI;ANGOULEME;87583005;CHAMPAGNE-ARDENNE;87171926;1;Tarif Elève - Etudiant - Apprenti;20.0;20.0
TGV INOUI;ANGOULEME;87583005;ST JEAN DE LUZ CIBOURE;87677120;1;Tarif Elève - Etudiant - Apprenti;30.0;30.0
TGV INOUI;MONTBARD;87713131;PARIS BERCY;87686667;1;Tarif Réglementé;87.3;87.3
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;SETE;87773200;1;Tarif Avantage;5.6;9.1
